Ujgnfqp,cooper,234.0,01/01/2098,9360.0,234.0,187.20000000000002,8938.79,40.0,
hogh,1,13.0,01/12/2018 to 15/12/208,520.0,13.0,10.4,496.6,40.0,
hogh,1,13.0,summer,520.0,13.0,10.4,496.6,40.0,
hogh,1,13.0,151,1332.5,33.31,26.650000000000002,1272.54,95.0,
hogh,1,13.0,jfjkjsjk,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,djlflk,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,66446,858.0,21.45,17.16,819.39,66.0,
hogh,1,13.0,545,65.0,1.62,1.3,62.08,5.0,
hogh,1,13.0,48456,520.0,13.0,10.4,496.6,40.0,
hogh,1,13.0,445,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,4445,905567.0,22639.17,18111.34,864816.49,46466.0,
hogh,1,13.0,fwkm,650.0,16.25,13.0,620.75,50.0,
hogh,1,13.0,june,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,may,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,sda,858.0,21.45,17.16,819.39,66.0,
hogh,1,13.0,54,754.0,18.85,15.08,720.07,58.0,
hogh,1,13.0,15,1410.5,35.26,28.21,1347.03,99.0,
hogh,1,13.0,14,1215.5,30.38,24.310000000000002,1160.81,89.0,
hogh,1,13.0,ds,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,45,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,54,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,15,1040.0,26.0,20.8,993.2,80.0,
hogh,1,13.0,45,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,54,351.0,8.77,7.0200000000000005,335.21,27.0,
hogh,1,13.0,55,1196.0,29.9,23.92,1142.17,88.0,
hogh,1,13.0,56,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,555,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,45,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,45,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,44,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,45,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,55,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,55,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,45,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,45,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,55,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,5,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,45,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,54,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,45,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,45,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,54,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,45,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,45,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,55,585.0,14.62,11.700000000000001,558.67,45.0,
hogh,1,13.0,45,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,45,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,45,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,45,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,54,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,45,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,4,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,54,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,45,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,45,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,45,1235.0,30.87,24.7,1179.43,90.0,
hogh,1,13.0,546,1235.0,30.87,24.7,1179.43,90.0,
Lknn M,1,13.0,may 2018 to june 2018,1235.0,30.87,24.7,1179.43,90.0,
